timestamp,simple-path,time
"2022-05-27 16:31:53.232","/master/welcome",6366
"2022-05-27 16:31:53.883","/master/welcome",558
"2022-05-27 16:31:56.679","/master/sign-in",2723
"2022-05-27 16:31:57.976","/master/welcome",570
"2022-05-27 16:31:59.769","/inventor/chimpum/list",1625
"2022-05-27 16:32:01.496","/inventor/chimpum/create",1114
"2022-05-27 16:32:03.675","/inventor/chimpum/create",589
"2022-05-27 16:32:04.146","/master/welcome",396
"2022-05-27 16:32:04.645","/master/welcome",471
"2022-05-27 16:32:05.274","/master/sign-in",566
"2022-05-27 16:32:06.577","/master/welcome",580
"2022-05-27 16:32:07.339","/inventor/chimpum/list",598
"2022-05-27 16:32:07.981","/inventor/chimpum/create",570
"2022-05-27 16:32:09.574","/inventor/chimpum/create",574
"2022-05-27 16:32:10.06","/master/welcome",428
"2022-05-27 16:32:10.467","/master/welcome",380
"2022-05-27 16:32:11.11","/master/sign-in",567
"2022-05-27 16:32:12.378","/master/welcome",564
"2022-05-27 16:32:13.12","/inventor/chimpum/list",591
"2022-05-27 16:32:13.792","/inventor/chimpum/create",584
"2022-05-27 16:32:15.448","/inventor/chimpum/create",576
"2022-05-27 16:32:15.923","/master/welcome",410
"2022-05-27 16:32:16.357","/master/welcome",400
"2022-05-27 16:32:16.985","/master/sign-in",571
"2022-05-27 16:32:18.242","/master/welcome",572
"2022-05-27 16:32:18.987","/inventor/chimpum/list",574
"2022-05-27 16:32:19.639","/inventor/chimpum/create",578
"2022-05-27 16:32:21.273","/inventor/chimpum/create",582
"2022-05-27 16:32:21.695","/master/welcome",367
"2022-05-27 16:32:22.118","/master/welcome",386
"2022-05-27 16:32:22.739","/master/sign-in",561
"2022-05-27 16:32:23.996","/master/welcome",565
"2022-05-27 16:32:24.759","/inventor/chimpum/list",609
"2022-05-27 16:32:25.449","/inventor/chimpum/create",570
"2022-05-27 16:32:26.954","/inventor/chimpum/create",580
"2022-05-27 16:32:27.488","/master/welcome",472
"2022-05-27 16:32:27.899","/master/welcome",383
"2022-05-27 16:32:28.524","/master/sign-in",564
"2022-05-27 16:32:29.868","/master/welcome",579
"2022-05-27 16:32:30.635","/inventor/chimpum/list",609
"2022-05-27 16:32:31.281","/inventor/chimpum/create",563
"2022-05-27 16:32:32.821","/inventor/chimpum/create",578
